Caracol,PI,102836,97485
Caraúbas do Piauí,PI,55080,57437
Caridade do Piauí,PI,50196,50031
Castelo do Piauí,PI,186224,202443
Caxingó,PI,50234,53140
Cocal,PI,252850,272767
Cocal de Telha,PI,44082,46961
Cocal dos Alves,PI,54412,56960
Coivaras,PI,38878,37708
Colônia do Gurguéia,PI,63539,70559
Colônia do Piauí,PI,62545,68111
Conceição do Canindé,PI,59520,60446
Coronel José Dias,PI,43845,40760
Corrente,PI,516015,680693
Cristalândia do Piauí,PI,69091,75069
Cristino Castro,PI,113903,121550
Curimatá,PI,121756,141390
Currais,PI,329609,409013
Curralinhos,PI,34850,39660
Curral Novo do Piauí,PI,65306,78394
Demerval Lobão,PI,196310,211639
Dirceu Arcoverde,PI,62126,67492
Dom Expedito Lopes,PI,78829,78045
Domingos Mourão,PI,41668,46532
Dom Inocêncio,PI,96045,164346
Elesbão Veloso,PI,152702,164731
Eliseu Martins,PI,51582,55592
Esperantina,PI,432931,456546
Fartura do Piauí,PI,42078,46774
Flores do Piauí,PI,44102,48120
Floresta do Piauí,PI,24381,25258
Floriano,PI,1310020,1469174
Francinópolis,PI,41649,44797
Francisco Ayres,PI,42582,46763
Francisco Macedo,PI,34745,32841
Francisco Santos,PI,82914,83027
Fronteiras,PI,118307,112454
Geminiano,PI,56312,59253
Gilbués,PI,306922,416894
Guadalupe,PI,552496,637192
Guaribas,PI,42452,45099
Hugo Napoleão,PI,31901,34066
Ilha Grande,PI,80050,119725
Inhuma,PI,152854,163624
Ipiranga do Piauí,PI,79805,82417
Isaías Coelho,PI,79906,80798
Itainópolis,PI,103985,108192
Itaueira,PI,127608,131853
Jacobina do Piauí,PI,58623,69064
Jaicós,PI,193502,191771
Jardim do Mulato,PI,34788,39632
Jatobá do Piauí,PI,51511,58747
Jerumenha,PI,48022,63528
João Costa,PI,64082,69289
Joaquim Pires,PI,107278,118894
Joca Marques,PI,44858,46226
José de Freitas,PI,379057,390718
Juazeiro do Piauí,PI,60572,56058
Júlio Borges,PI,73994,80794
Jurema,PI,42988,43566
Lagoinha do Piauí,PI,37321,40519
Lagoa Alegre,PI,73116,77314
Lagoa do Barro do Piauí,PI,351512,534683
Lagoa de São Francisco,PI,52984,54980
Lagoa do Piauí,PI,66658,75615
Lagoa do Sítio,PI,45727,48595
Landri Sales,PI,87623,109799
Luís Correia,PI,347609,378697
Luzilândia,PI,222359,241221
Madeiro,PI,64411,75141
Manoel Emídio,PI,53471,54807
Marcolândia,PI,153090,198352
Marcos Parente,PI,47921,54884
Massapê do Piauí,PI,52917,52130
Matias Olímpio,PI,90360,95555
Miguel Alves,PI,280386,312819
Miguel Leão,PI,21596,23604
Milton Brandão,PI,54471,53563
Monsenhor Gil,PI,108321,127469
